nam,ma_ck,ten_cong_ty,san,sl_tvhdqt,tv_hdqt_co_trinh_do_tcnh,tv_hdqt_khong_dh,tai_san_khong_sinh_loi,tv_bgd_tham_nien_5_nam,top_6,top_4,thoi_gian_ky_bao_cao,tong_tai_san,vcsh,nim,loi_nhuan_sau_thue,ty_le_no_xau,du_phong_rui_ro_tin_dung,du_no,tai_san_thanh_khoan,so_nam_hoat_dong,von_huy_dong,car
2007,ABBank,Ngân hàng TMCP An Bình,OTC,,,,1.10E+12,,0,0,,1.72E+13,2.48E+12,0.033930286,1.62E+11,1.52,-57849000000,6.88E+12,8.60E+12,14,6.78E+12,N/a
2008,ABBank,Ngân hàng TMCP An Bình,OTC,,,,1.90E+12,,0,0,85,1.35E+13,3.96E+12,0.01957237,49696000000,4.2,-81229000000,6.54E+12,5.10E+12,15,6.67E+12,N/a
2009,ABBank,Ngân hàng TMCP An Bình,OTC,,,,1.54E+12,,0,0,56,2.65E+13,4.49E+12,0.037701433,3.12E+11,1.47,-1.42E+11,1.29E+13,9.19E+12,16,1.50E+13,N/a
2010,ABBank,Ngân hàng TMCP An Bình,OTC,6,0,6,4.14E+12,0,0,0,56,3.80E+13,4.65E+12,0.041070274,4.96E+11,1.16,-2.11E+11,1.99E+13,9.28E+12,17,2.35E+13,14.89
2011,ABBank,Ngân hàng TMCP An Bình,OTC,5,1,5,5.66E+12,0,0,0,56,4.15E+13,4.72E+12,0.053677379,3.07E+11,2.79,-3.18E+11,1.99E+13,8.88E+12,18,2.02E+13,N/a
2012,ABBank,Ngân hàng TMCP An Bình,OTC,5,1,5,7.01E+12,0,0,0,86,4.60E+13,4.90E+12,0.045866153,3.99E+11,2.29,-4.14E+11,1.88E+13,9.95E+12,19,2.87E+13,N/a
2013,ABBank,Ngân hàng TMCP An Bình,OTC,6,2,6,4.91E+12,0,0,0,90,5.76E+13,5.74E+12,0.027426668,1.41E+11,4.8,-6.53E+11,2.36E+13,8.86E+12,20,3.72E+13,N/a
2014,ABBank,Ngân hàng TMCP An Bình,OTC,6,1,6,6.11E+12,3,0,0,90,6.75E+13,5.72E+12,0.026059939,1.17E+11,2.75,-4.74E+11,2.60E+13,1.44E+13,21,4.51E+13,14.9
2015,ABBank,Ngân hàng TMCP An Bình,OTC,6,1,6,4.39E+12,3,0,0,90,6.44E+13,5.79E+12,0.027150643,91279000000,1.72,-3.85E+11,3.09E+13,1.47E+13,22,4.75E+13,17.5
2016,ABBank,Ngân hàng TMCP An Bình,OTC,7,0,7,4.58E+12,3,0,0,89,7.42E+13,5.84E+12,0.028182898,2.44E+11,1.95,-5.87E+11,3.98E+13,1.70E+13,23,5.15E+13,15.1
2017,ABBank,Ngân hàng TMCP An Bình,OTC,7,0,6,3.40E+12,3,0,0,108,8.45E+13,6.12E+12,0.028957026,4.89E+11,2.03,-7.60E+11,4.79E+13,2.16E+13,24,5.79E+13,13.4
2018,ABBank,Ngân hàng TMCP An Bình,OTC,7,1,7,4.41E+12,1,1,1,88,9.00E+13,6.87E+12,0.024459282,7.15E+11,1.65,-6.47E+11,5.22E+13,2.73E+13,25,6.23E+13,12.8
2007,ACB,Ngân hàng TMCP Á Châu,HNX,10,0,10,1.01E+13,5,0,0,60,8.54E+13,6.26E+12,0.022909181,1.76E+12,0.08,-1.35E+11,3.18E+13,3.65E+13,14,5.53E+13,16.19
2008,ACB,Ngân hàng TMCP Á Châu,HNX,11,0,7,1.75E+13,5,0,0,,1.05E+14,7.77E+12,0.033465335,2.21E+12,0.9,-2.29E+11,3.48E+13,2.94E+13,15,6.42E+13,12.44
2009,ACB,Ngân hàng TMCP Á Châu,HNX,11,0,7,3.48E+13,7,0,0,43,1.68E+14,1.01E+13,0.025358239,2.20E+12,0.4,-5.02E+11,6.24E+13,3.95E+13,16,8.69E+13,9.73
2010,ACB,Ngân hàng TMCP Á Châu,HNX,11,0,8,3.27E+13,7,0,0,81,2.05E+14,1.14E+13,0.027260947,2.33E+12,0.34,-7.17E+11,8.72E+13,4.02E+13,17,1.07E+14,10.6
2011,ACB,Ngân hàng TMCP Á Châu,HNX,11,0,8,6.57E+13,7,0,0,65,2.81E+14,1.20E+13,0.034087074,3.21E+12,0.85,-9.86E+11,1.03E+14,8.77E+13,18,1.42E+14,9.25
2012,ACB,Ngân hàng TMCP Á Châu,HNX,11,1,9,2.13E+13,6,0,0,105,1.76E+14,1.26E+13,0.037110338,7.84E+11,2.46,-1.50E+12,1.03E+14,3.17E+13,19,1.25E+14,13.5
2013,ACB,Ngân hàng TMCP Á Châu,HNX,10,1,9,1.50E+13,5,1,1,66,1.67E+14,1.25E+13,0.028612897,8.26E+11,3,-1.55E+12,1.07E+14,1.70E+13,20,1.38E+14,14.07
2014,ACB,Ngân hàng TMCP Á Châu,HNX,10,1,9,1.46E+13,5,1,1,65,1.80E+14,1.24E+13,0.030103765,9.52E+11,2.17,-1.58E+12,1.16E+14,3.20E+13,21,1.55E+14,14.08
2015,ACB,Ngân hàng TMCP Á Châu,HNX,10,1,9,1.17E+13,7,1,1,60,2.01E+14,1.28E+13,0.033170934,1.03E+12,1.3,-1.54E+12,1.34E+14,2.26E+13,22,1.75E+14,12.8
2016,ACB,Ngân hàng TMCP Á Châu,HNX,9,1,8,1.10E+13,7,1,1,59,2.34E+14,1.41E+13,0.033426825,1.33E+12,0.88,-1.80E+12,1.63E+14,2.37E+13,23,2.07E+14,13.19
2017,ACB,Ngân hàng TMCP Á Châu,HNX,8,1,7,1.52E+13,7,1,1,60,2.84E+14,1.60E+13,0.034401137,2.12E+12,0.71,-1.84E+12,1.99E+14,2.35E+13,24,2.41E+14,11.49
2018,ACB,Ngân hàng TMCP Á Châu,HNX,8,1,7,1.54E+13,6,1,1,59,3.29E+14,2.10E+13,0.035547886,5.14E+12,0.73,-2.54E+12,2.31E+14,3.32E+13,25,2.70E+14,12.81
2007,BAB,Ngân hàng TMCP Bắc Á,UPCoM,,,,,,0,0,,,,,,-,,,,13,,-
2008,BAB,Ngân hàng TMCP Bắc Á,UPCoM,,,,,,0,0,,,,,,-,,,,14,,-
2009,BAB,Ngân hàng TMCP Bắc Á,UPCoM,,,,,,0,0,,,,,,-,,,,15,,-
2010,BAB,Ngân hàng TMCP Bắc Á,UPCoM,,,,,,0,0,,,,,,-,,,,16,,-
2011,BAB,Ngân hàng TMCP Bắc Á,UPCoM,,,,4.90E+12,,0,0,,2.57E+13,3.24E+12,,1.52E+11,0.64,-1.46E+11,1.69E+13,4.07E+12,17,9.34E+12,16.04
2012,BAB,Ngân hàng TMCP Bắc Á,UPCoM,6,0,4,5.89E+12,0,0,0,88,3.37E+13,3.15E+12,0.028184036,34581115303,5.66,-2.67E+11,2.23E+13,3.92E+12,18,2.90E+13,12.46
2013,BAB,Ngân hàng TMCP Bắc Á,UPCoM,5,0,3,5.87E+12,0,0,0,87,5.03E+13,3.31E+12,0.034022016,1.92E+11,2.32,-2.68E+11,2.95E+13,1.41E+13,19,4.24E+13,10
2014,BAB,Ngân hàng TMCP Bắc Á,UPCoM,5,0,3,4.69E+12,0,0,0,90,5.72E+13,4.12E+12,0.022554523,2.74E+11,2.15,-3.53E+11,3.64E+13,1.48E+13,20,4.63E+13,Đạt và vượt chỉ tiêu NHNN
2015,BAB,Ngân hàng TMCP Bắc Á,UPCoM,5,0,3,4.44E+12,0,0,0,88,6.35E+13,5.01E+12,0.019436437,3.80E+11,0.65,-4.82E+11,4.18E+13,1.53E+13,21,5.29E+13,10.91
2016,BAB,Ngân hàng TMCP Bắc Á,UPCoM,5,0,3,3.69E+12,5,0,0,87,7.59E+13,5.81E+12,0.020323548,5.01E+11,0.81,-4.44E+11,4.81E+13,1.75E+13,22,5.92E+13,12.8
2017,BAB,Ngân hàng TMCP Bắc Á,UPCoM,5,0,3,4.28E+12,5,0,0,86,9.18E+13,6.37E+12,0.020755767,6.02E+11,0.63,-6.13E+11,5.55E+13,2.99E+13,23,6.34E+13,11.14
2018,BAB,Ngân hàng TMCP Bắc Á,UPCoM,5,0,3,5.73E+12,6,1,0,84,9.70E+13,7.08E+12,0.019000122,6.77E+11,0.76,-5.94E+11,6.40E+13,2.86E+13,24,7.25E+13,11.15
2007,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,,,0,0,,,,,,0,,,,,,-
2008,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,,,0,0,,,,,,N/a,,,,0,,-
2009,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,2.23E+11,,0,0,74,7.27E+12,1.56E+12,,63108012502,N/a,-5418787589,2.26E+12,4.23E+12,1,3.51E+12,35.2
2010,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,1.22E+12,,0,0,59,1.37E+13,1.65E+12,0.029475271,1.33E+11,0.0083,-33423166130,5.62E+12,7.03E+12,2,7.29E+12,21
2011,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,6,0,5,9.38E+11,0,0,0,75,1.32E+13,1.67E+12,0.029631987,1.16E+11,4.53,-79495262607,6.71E+12,5.92E+12,3,7.03E+12,22
2012,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,5,1,4,4.40E+11,0,0,0,75,1.33E+13,3.15E+12,0.031561925,91108776470,N/a,-1.37E+11,6.75E+12,5.76E+12,4,6.27E+12,42
2013,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,1.98E+12,,0,0,86,1.68E+13,3.18E+12,0.034802113,1.06E+11,3.91,-99413481618,7.96E+12,8.28E+12,5,8.60E+12,N/a
2014,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,7,0,5,2.65E+12,0,0,0,84,2.42E+13,3.34E+12,0.020980252,1.04E+11,1.5,-80548385761,9.79E+12,1.25E+13,6,1.24E+13,N/a
2015,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,1.60E+12,,0,0,75,3.07E+13,3.36E+12,0.018721163,86509035328,1.39,-1.13E+11,1.29E+13,1.49E+13,7,1.51E+13,N/a
2016,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,7,1,5,3.03E+12,0,0,0,90,3.43E+13,3.29E+12,0.020366547,93307343113,1.3,-1.48E+11,1.52E+13,1.49E+13,8,2.07E+13,N/a
2017,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,,,,5.14E+12,,0,0,33,4.89E+13,3.50E+12,0.023498525,1.45E+11,2.76,-3.25E+11,2.17E+13,2.30E+13,9,2.41E+13,N/a
2018,BaoVietBank,Ngân hàng TMCP Bảo Việt,OTC,8,0,7,6.70E+12,1,0,0,66,5.59E+13,3.48E+12,0.01360373,80073909458,<3,-3.08E+11,2.57E+13,2.64E+13,10,2.70E+13,>=9
2007,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,6,0,4,9.97E+12,7,0,0,60,2.05E+14,1.16E+13,0.029114908,1.53E+12,3.98,-2.90E+12,1.32E+14,3.70E+13,50,1.35E+14,IFRS : 6.7
2008,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,7,0,6,1.14E+13,5,0,0,100,2.46E+14,1.35E+13,0.029065627,1.98E+12,2.75,-4.11E+12,1.61E+14,4.73E+13,51,1.63E+14,8.94
2009,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,7,0,6,1.23E+13,5,0,0,74,2.96E+14,1.76E+13,0.026863741,2.82E+12,2.82,-5.40E+12,2.06E+14,4.72E+13,52,1.87E+14,7.55
2010,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,7,0,6,1.47E+13,4,0,0,84,3.66E+14,2.42E+13,0.028917652,3.76E+12,3,-5.29E+12,2.54E+14,5.20E+13,53,2.45E+14,9.32
2011,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,10,1,9,1.45E+13,3,0,0,59,4.06E+14,2.44E+13,0.03403182,3.21E+12,2.96,-5.86E+12,2.94E+14,4.84E+13,54,2.41E+14,11.07
2012,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,10,1,9,2.45E+13,4,0,0,79,4.85E+14,2.65E+13,0.021626199,2.57E+12,2.92,-5.91E+12,3.40E+14,9.55E+13,55,3.03E+14,9.65
2013,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,10,0,8,2.83E+13,3,1,1,79,5.48E+14,3.20E+13,0.028457127,4.03E+12,2.37,-6.15E+12,3.91E+14,1.05E+14,56,3.39E+14,10.02
2014,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,9,0,7,3.79E+13,5,1,1,85,6.50E+14,3.33E+13,0.029746247,4.95E+12,2.03,-6.62E+12,4.46E+14,1.42E+14,57,4.40E+14,9.07
2015,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,15,1,14,3.90E+13,5,1,1,90,8.51E+14,4.23E+13,0.027125547,6.30E+12,1.68,-7.52E+12,5.98E+14,1.66E+14,58,5.65E+14,9
2016,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,10,1,9,3.36E+13,4,1,1,83,1.01E+15,4.41E+13,0.02621869,6.10E+12,1.95,-1.01E+13,7.24E+14,2.00E+14,59,7.26E+14,>9
2017,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,10,1,9,3.11E+13,7,1,1,89,1.20E+15,4.88E+13,0.028876021,6.79E+12,1.62,-1.13E+13,8.67E+14,2.34E+14,60,8.60E+14,10.9
2018,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,HoSE,8,1,8,2.86E+13,4,1,1,95,1.31E+15,5.46E+13,0.028470141,7.36E+12,1.9,-1.24E+13,9.89E+14,2.44E+14,61,9.90E+14,10.34
2007,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,,,,5.18E+12,,0,0,105,1.66E+14,1.06E+13,0.032269875,1.15E+12,1.02,-1.71E+12,1.02E+14,4.64E+13,19,1.13E+14,11.62
2008,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,6,2,5,7.59E+12,0,0,0,140,1.94E+14,1.23E+13,0.041446191,1.80E+12,1.81,-2.15E+12,1.21E+14,4.99E+13,20,1.22E+14,12.02
2009,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,7,2,6,1.22E+13,0,0,0,76,2.44E+14,1.26E+13,0.02131803,1.27E+12,0.61,-1.55E+12,1.63E+14,6.20E+13,21,1.49E+14,8.06
2010,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,7,1,6,1.56E+13,0,0,0,69,3.68E+14,1.82E+13,0.041427087,3.41E+12,0.66,-2.77E+12,2.34E+14,1.08E+14,22,2.06E+14,8.02
2011,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,8,2,7,2.19E+13,0,0,0,53,4.61E+14,2.85E+13,0.050703113,6.24E+12,0.75,-3.04E+12,2.93E+14,1.40E+14,23,2.57E+14,10.57
2012,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,9,2,7,2.65E+13,3,0,0,80,5.04E+14,3.36E+13,0.040229485,6.15E+12,1.35,-3.67E+12,3.33E+14,1.05E+14,24,2.89E+14,10.33
2013,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,11,3,8,3.35E+13,3,1,1,79,5.76E+14,5.41E+13,0.035842774,5.79E+12,0.82,-3.30E+12,3.76E+14,1.51E+14,25,3.64E+14,13.17
2014,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,10,2,7,4.20E+13,2,1,1,84,6.61E+14,5.50E+13,0.030741839,5.71E+12,0.9,-4.37E+12,4.40E+14,1.68E+14,26,4.24E+14,10.4
2015,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,9,2,6,4.16E+13,4,1,1,81,7.79E+14,5.61E+13,0.027763848,5.70E+12,0.73,-4.55E+12,5.38E+14,1.89E+14,27,4.93E+14,10.58
2016,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,9,2,6,4.13E+13,5,1,1,89,9.49E+14,6.03E+13,0.027114918,6.75E+12,0.93,-6.90E+12,6.62E+14,2.32E+14,28,6.55E+14,10.4
2017,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,8,2,6,4.52E+13,3,1,1,87,1.10E+15,6.38E+13,0.027666083,7.43E+12,1.13,-8.30E+12,7.91E+14,2.52E+14,29,7.53E+14,>9
2018,CTG,Ngân hàng TMCP Công Thương Việt Nam,HoSE,7,1,5,4.10E+13,4,1,1,88,1.16E+15,6.75E+13,0.020722843,5.41E+12,1.6,-1.30E+13,8.65E+14,2.41E+14,30,8.26E+14,>9
2007,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,10,0,10,3.60E+12,0,0,0,72,3.37E+13,6.29E+12,0.030556471,4.63E+11,0.88,-73541000000,1.85E+13,1.13E+13,18,2.29E+13,27
2008,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,11,0,11,6.45E+12,0,0,0,90,4.82E+13,1.28E+13,0.036707865,7.11E+11,4.7,-3.76E+11,2.12E+13,1.42E+13,19,3.09E+13,45.89
2009,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,11,0,11,9.48E+12,5,0,0,88,6.54E+13,1.34E+13,0.040407887,1.13E+12,1.83,-3.79E+11,3.84E+13,9.53E+12,20,3.88E+13,26.87
2010,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,9,0,8,1.44E+13,3,0,0,59,1.31E+14,1.35E+13,0.033391361,1.81E+12,1.42,-6.28E+11,6.23E+13,3.37E+13,21,5.82E+13,17.79
2011,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,10,0,9,1.58E+13,5,0,0,90,1.84E+14,1.63E+13,0.037291777,3.04E+12,1.61,-6.19E+11,7.47E+13,6.67E+13,22,5.37E+13,12.94
2012,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,8,0,7,2.37E+13,7,0,0,80,1.70E+14,1.58E+13,0.031200224,2.14E+12,1.32,-6.06E+11,7.49E+13,3.96E+13,23,7.05E+13,16.38
2013,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,7,0,7,1.17E+13,6,1,1,87,1.70E+14,1.47E+13,0.017966747,6.59E+11,1.98,-7.11E+11,8.34E+13,3.36E+13,24,7.95E+13,14.47
2014,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,9,0,8,1.11E+13,7,1,1,84,1.61E+14,1.41E+13,0.017592115,56084000000,2.46,-1.02E+12,8.71E+13,4.01E+13,25,1.01E+14,13.62
2015,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,9,0,9,9.31E+12,5,1,1,91,1.25E+14,1.31E+13,0.025593065,39994000000,1.86,-8.70E+11,8.48E+13,1.45E+13,26,9.84E+13,16.52
2016,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,8,0,7,8.14E+12,6,1,1,87,1.29E+14,1.34E+13,0.026097569,3.09E+11,2.95,-1.07E+12,8.69E+13,2.15E+13,27,1.02E+14,17.12
2017,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,9,0,7,8.00E+12,7,1,1,85,1.49E+14,1.43E+13,0.020362802,8.23E+11,2.27,-1.06E+12,1.01E+14,2.80E+13,28,1.18E+14,15.98
2018,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,HoSE,10,0,8,5.97E+12,5,1,1,88,1.53E+14,1.49E+13,0.022266177,6.61E+11,1.85,-1.07E+12,1.04E+14,3.56E+13,29,1.19E+14,15.05
2007,HDB,Ngân hàng TMCP Phát triển TPHCM,HoSE,7,2,7,1.36E+12,0,0,0,65,1.38E+13,7.41E+11,0.026283138,1.21E+11,0.31,-35333000000,8.91E+12,2.13E+12,17,3.54E+12,N/a
2008,HDB,Ngân hàng TMCP Phát triển TPHCM,HoSE,6,2,5,7.87E+11,0,0,0,71,9.56E+12,1.67E+12,0.010754235,59944000000,1.93,-40062000000,6.18E+12,2.35E+12,18,4.34E+12,N/a
2009,HDB,Ngân hàng TMCP Phát triển TPHCM,HoSE,6,2,5,2.18E+12,0,0,0,30,1.91E+13,1.80E+12,0.018250771,1.94E+11,1.1,-63666000000,8.23E+12,7.30E+12,19,9.46E+12,15.67
2010,HDB,Ngân hàng TMCP Phát triển TPHCM,HoSE,8,3,7,5.83E+12,0,0,0,,3.44E+13,2.36E+12,0.022959306,2.69E+11,0.83,-84836827140,1.17E+13,1.51E+13,20,1.40E+13,12.71
