nam,ma_ck,ten_cong_ty,san,sl_tvhdqt,tv_hdqt_co_trinh_do_tcnh,tv_hdqt_khong_dh,tai_san_khong_sinh_loi,tv_bgd_tham_nien_5_nam,top_6,top_4,thoi_gian_ky_bao_cao,tong_tai_san,vcsh,nim,loi_nhuan_sau_thue,ty_le_no_xau,du_phong_rui_ro_tin_dung,du_no,tai_san_thanh_khoan,so_nam_hoat_dong,von_huy_dong,car
2010,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,9,0,8,1.67E+13,1,0,0,67,1.50E+14,9.39E+12,0.029178428,2.07E+12,2.29,-6.11E+11,5.29E+13,7.73E+13,17,8.06E+13,13.11
2011,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,9,0,8,2.11E+13,2,0,0,82,1.81E+14,1.25E+13,0.036161092,3.15E+12,2.82,-8.89E+11,6.35E+13,9.19E+13,18,8.86E+13,11.43
2012,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,8,0,8,2.78E+13,4,0,0,79,1.80E+14,1.33E+13,0.032828264,7.66E+11,2.69,-1.13E+12,6.83E+13,7.14E+13,19,1.11E+14,12.6
2013,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,9,0,8,2.05E+13,1,1,1,81,1.59E+14,1.39E+13,0.02983864,6.59E+11,3.65,-1.19E+12,7.03E+13,6.18E+13,20,1.20E+14,14.03
2014,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,7,0,6,1.96E+13,3,1,1,75,1.76E+14,1.50E+13,0.039171646,1.08E+12,2.38,-9.60E+11,8.03E+13,6.26E+13,21,1.32E+14,15.65
2015,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,7,0,6,1.75E+13,4,1,1,75,1.92E+14,1.65E+13,0.043580717,1.53E+12,1.67,-1.16E+12,1.12E+14,5.13E+13,22,1.42E+14,14.7
2016,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,7,0,7,2.15E+13,5,1,1,82,2.35E+14,1.96E+13,0.041929123,3.15E+12,1.57,-1.50E+12,1.43E+14,5.82E+13,23,1.73E+14,13.12
2017,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,7,0,6,2.24E+13,4,1,1,40,2.69E+14,2.69E+13,0.038751858,6.45E+12,1.61,-1.88E+12,1.61E+14,7.33E+13,24,1.71E+14,12.68
2018,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HoSE,7,0,6,2.81E+13,2,1,1,74,3.21E+14,5.18E+13,0.041214451,8.49E+12,1.75,-2.39E+12,1.60E+14,1.09E+14,25,2.01E+14,12.68
2007,TPB,Ngân hàng TMCP Tiên Phong,HoSE,,,,,,0,0,,,,,,-,,,,,,-
2008,TPB,Ngân hàng TMCP Tiên Phong,HoSE,7,0,6,1.89E+11,0,0,0,64,2.42E+12,1.02E+12,,50511054000,N/a,0,2.75E+11,1.95E+12,0,1.17E+12,286
2009,TPB,Ngân hàng TMCP Tiên Phong,HoSE,7,0,6,1.43E+12,0,0,0,60,1.07E+13,1.64E+12,0.03754944,1.28E+11,0,-21052381000,3.19E+12,6.26E+12,1,4.23E+12,18
2010,TPB,Ngân hàng TMCP Tiên Phong,HoSE,7,0,6,5.34E+12,0,0,0,75,2.09E+13,3.20E+12,0.01712142,1.62E+11,0.02,-68820258000,5.22E+12,1.04E+13,2,7.56E+12,18
2011,TPB,Ngân hàng TMCP Tiên Phong,HoSE,6,0,6,4.30E+12,0,0,0,,2.49E+13,1.67E+12,-0.008832159,-1.37E+12,N/a,-60441196994,3.66E+12,1.69E+13,3,6.24E+12,N/a
2012,TPB,Ngân hàng TMCP Tiên Phong,HoSE,8,0,8,5.23E+11,0,0,0,78,1.51E+13,3.32E+12,0.015609732,1.16E+11,3.66,-92672320042,6.08E+12,7.83E+12,4,9.27E+12,40.15
2013,TPB,Ngân hàng TMCP Tiên Phong,HoSE,8,0,8,1.68E+12,0,1,1,79,3.21E+13,3.70E+12,0.026551253,3.81E+11,1.97,-1.17E+11,1.19E+13,1.69E+13,5,1.43E+13,19.81
2014,TPB,Ngân hàng TMCP Tiên Phong,HoSE,8,0,8,1.46E+12,2,1,1,83,5.15E+13,4.24E+12,0.024351367,5.36E+11,1.01,-1.99E+11,1.98E+13,2.82E+13,6,2.16E+13,15.04
2015,TPB,Ngân hàng TMCP Tiên Phong,HoSE,9,0,9,4.69E+12,2,1,1,75,7.62E+13,4.80E+12,0.023085292,5.62E+11,0.66,-2.63E+11,2.82E+13,4.02E+13,7,3.95E+13,12.13
2016,TPB,Ngân hàng TMCP Tiên Phong,HoSE,8,0,8,3.80E+12,7,1,1,72,1.06E+14,5.68E+12,0.024445693,5.65E+11,0.7,-4.09E+11,4.66E+13,4.98E+13,8,5.51E+13,9.3
2017,TPB,Ngân hàng TMCP Tiên Phong,HoSE,8,0,8,9.81E+12,10,1,1,15,1.24E+14,6.68E+12,0.029334321,9.64E+11,1.15,-6.75E+11,6.34E+13,4.95E+13,9,7.03E+13,9.02
2018,TPB,Ngân hàng TMCP Tiên Phong,HoSE,8,0,8,1.25E+13,7,1,1,74,1.36E+14,1.06E+13,0.036792663,1.81E+12,1.1,-8.90E+11,7.72E+13,4.50E+13,10,7.61E+13,10.24
2007,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,,,,,,-,,,,1,,-
2008,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,,,,,,N/a,,,,2,,-
2009,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,,,,,,N/a,,,,3,,-
2010,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,,,,,,N/a,,,,4,,-
2011,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,1.35E+12,,0,0,,1.83E+13,3.09E+12,,3.64E+11,N/a,-1.06E+11,8.27E+12,6.55E+12,5,5.26E+12,-
2012,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,2.21E+12,,0,0,107,1.68E+13,3.09E+12,0.040824907,16765000000,N/a,-1.10E+11,8.73E+12,3.81E+12,6,7.98E+12,-
2013,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,,,,,,N/a,,,,7,,-
2014,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,,,,,,N/a,,,,8,,-
2015,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,,,0,0,106,,,,,1.3,,,,9,,-
2016,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,,,,2.01E+12,,0,0,79,3.67E+13,3.07E+12,0.014196358,67141000000,1.69,-2.27E+11,2.63E+13,8.06E+12,10,3.02E+13,10.5
2017,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,7,0,7,2.23E+12,0,0,0,90,4.15E+13,3.33E+12,0.020899372,2.62E+11,1.35,-2.44E+11,2.87E+13,8.78E+12,11,3.13E+13,9.35
2018,VBB,Ngân hàng TMCP Việt Nam Thương Tín,UPCoM,7,0,7,3.88E+12,0,0,0,88,5.17E+13,4.51E+12,0.023982363,3.22E+11,1.25,-3.09E+11,3.55E+13,8.32E+12,12,3.99E+13,11.1
2007,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,,,,8.88E+12,,0,0,162,1.97E+14,1.36E+13,0.023367715,2.40E+12,2.66,-2.10E+12,9.75E+13,5.19E+13,44,1.42E+14,9.2
2008,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,8,0,6,6.31E+12,0,0,0,117,2.22E+14,1.38E+13,0.018293793,1.34E+12,4.61,-4.26E+12,1.13E+14,9.06E+13,45,1.57E+14,8.9
2009,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,7,0,5,8.18E+12,0,0,0,90,2.55E+14,1.67E+13,0.028074634,3.92E+12,2.47,-4.63E+12,1.42E+14,9.27E+13,46,1.69E+14,8.11
2010,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,6,0,5,9.67E+12,0,0,0,90,3.07E+14,2.07E+13,0.030041308,4.21E+12,2.83,-5.69E+12,1.77E+14,1.11E+14,47,2.05E+14,9
2011,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,6,0,4,1.19E+13,0,0,0,75,3.67E+14,2.86E+13,0.038065051,4.20E+12,2.03,-5.33E+12,2.09E+14,1.09E+14,48,2.27E+14,11.14
2012,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,8,1,5,1.30E+13,5,0,0,74,4.14E+14,4.15E+13,0.028931225,4.40E+12,2.4,-5.28E+12,2.41E+14,1.51E+14,49,2.85E+14,14.63
2013,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,9,1,6,1.35E+13,4,1,1,79,4.69E+14,4.24E+13,0.025164121,4.36E+12,2.73,-6.45E+12,2.74E+14,1.56E+14,50,3.32E+14,13.13
2014,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,7,1,4,2.69E+13,5,1,1,89,5.77E+14,4.33E+13,0.023378668,4.57E+12,2.31,-7.08E+12,3.23E+14,1.62E+14,51,4.22E+14,11.61
2015,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,7,1,4,2.72E+13,5,1,1,71,6.74E+14,4.52E+13,0.025814061,5.31E+12,1.79,-8.61E+12,3.87E+14,1.65E+14,52,5.01E+14,11.04
2016,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,7,1,4,2.59E+13,6,1,1,88,7.88E+14,4.81E+13,0.026296457,6.83E+12,1.46,-8.12E+12,4.61E+14,1.77E+14,53,5.90E+14,11.13
2017,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,9,1,6,3.52E+13,7,1,1,89,1.04E+15,5.26E+13,0.024899271,9.09E+12,1.11,-8.11E+12,5.43E+14,2.97E+14,54,7.09E+14,11.63
2018,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,HoSE,8,1,6,3.05E+13,8,1,1,90,1.07E+15,6.22E+13,0.027802034,1.46E+13,0.97,-1.03E+13,6.32E+14,2.36E+14,55,8.02E+14,12.14
2007,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,5,0,5,1.75E+12,0,0,0,31,3.93E+13,2.18E+12,0.028130692,3.09E+11,1.21,-1.32E+11,1.67E+13,2.03E+13,11,1.77E+13,10.04
2008,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,5,0,5,1.46E+12,0,0,0,,3.47E+13,2.29E+12,0.023126473,1.69E+11,1.84,-1.87E+11,1.98E+13,1.35E+13,12,2.39E+13,N/a
2009,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,5,0,4,2.10E+12,0,0,0,,5.66E+13,2.95E+12,0.025859291,4.63E+11,1.27,-2.50E+11,2.74E+13,2.55E+13,13,3.24E+13,8.67
2010,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,9,0,7,6.57E+12,0,0,0,90,9.38E+13,6.59E+12,0.029546658,7.91E+11,1.59,-4.73E+11,4.17E+13,4.50E+13,14,4.50E+13,10.11
2011,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,9,0,8,3.48E+12,0,0,0,89,9.69E+13,8.16E+12,0.041325224,6.39E+11,<3,-6.88E+11,4.35E+13,4.86E+13,15,4.41E+13,14.48
2012,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,0,8,8.00E+12,0,0,0,85,6.50E+13,8.37E+12,0.039718274,5.23E+11,2.62,-5.74E+11,3.39E+13,2.22E+13,16,3.91E+13,19.43
2013,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,0,6,1.10E+13,2,0,0,85,7.69E+13,7.98E+12,0.031496798,50248000000,2.82,-9.25E+11,3.52E+13,2.88E+13,17,4.32E+13,18
2014,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,0,6,5.34E+12,4,0,0,61,8.07E+13,8.50E+12,0.032474466,5.23E+11,2.51,-8.89E+11,3.82E+13,3.03E+13,18,4.91E+13,17.7
2015,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,0,6,1.73E+12,5,0,0,85,8.43E+13,8.61E+12,0.029691404,5.21E+11,2.07,-7.52E+11,4.78E+13,3.09E+13,19,5.33E+13,18.04
2016,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,0,7,1.59E+12,6,0,0,83,1.05E+14,8.74E+12,0.028314471,5.62E+11,2.58,-1.02E+12,6.02E+13,3.94E+13,20,5.93E+13,13.25
2017,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,0,7,2.97E+12,7,0,0,58,1.23E+14,8.79E+12,0.030978804,1.12E+12,2.5,-9.45E+11,7.99E+13,3.79E+13,21,6.84E+13,13.07
2018,VIB,Ngân hàng TMCP Quốc tế Việt Nam,UPCoM,8,1,7,3.42E+12,8,1,1,57,1.39E+14,1.07E+13,0.037708347,2.19E+12,2.24,-8.78E+11,9.61E+13,3.89E+13,22,8.49E+13,10
2007,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,1.29E+12,,0,0,,9.47E+12,1.33E+12,0.030505924,1.47E+11,-,-21051000000,5.76E+12,2.43E+12,4,4.58E+12,-
2008,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,1.76E+12,,0,0,71,1.03E+13,1.44E+12,0.023799674,72182207710,1.8,-59291000000,6.63E+12,1.94E+12,5,7.45E+12,-
2009,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,2.77E+12,,0,0,,1.58E+13,1.71E+12,0.03244599,2.10E+11,1.31,-1.22E+11,1.20E+13,9.85E+11,6,1.08E+13,-
2010,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,4.85E+12,,0,0,52,2.41E+13,3.40E+12,0.032958076,2.66E+11,2.52,-1.99E+11,1.33E+13,3.80E+12,7,9.39E+12,N/a
2011,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,5.56E+12,,0,0,263,2.25E+13,3.58E+12,0.027430342,2.48E+11,2.56,-1.90E+11,1.16E+13,3.39E+12,8,7.25E+12,N/a
2012,VietABank,Ngân hàng TMCP Việt Á,OTC,5,1,4,6.81E+12,0,0,0,101,2.46E+13,3.53E+12,0.018238419,1.64E+11,4.65,-1.97E+11,1.29E+13,4.25E+12,9,1.50E+13,N/a
2013,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,4.79E+12,,0,0,,2.70E+13,3.59E+12,0.023320787,60115269944,2.88,-1.93E+11,1.44E+13,7.33E+12,10,1.88E+13,15.2
2014,VietABank,Ngân hàng TMCP Việt Á,OTC,,,,5.42E+12,,0,0,113,3.56E+13,3.64E+12,0.015218148,47497043326,2.33,-1.89E+11,1.58E+13,1.29E+13,11,1.98E+13,15.28
2015,VietABank,Ngân hàng TMCP Việt Á,OTC,5,0,4,5.17E+12,0,0,0,116,4.19E+13,3.92E+12,0.032969223,81966642679,2.26,-2.28E+11,2.03E+13,1.36E+13,12,2.44E+13,19.07
2016,VietABank,Ngân hàng TMCP Việt Á,OTC,5,0,5,6.37E+12,0,0,0,110,6.15E+13,4.02E+12,0.018157454,99430023841,2.14,-4.10E+11,3.04E+13,2.29E+13,13,3.22E+13,-
2017,VietABank,Ngân hàng TMCP Việt Á,OTC,5,0,5,4.55E+12,0,0,0,108,6.44E+13,4.12E+12,0.019901258,98801772152,2.68,-3.28E+11,3.42E+13,2.16E+13,14,3.44E+13,10.24
2018,VietABank,Ngân hàng TMCP Việt Á,OTC,6,0,4,4.92E+12,0,0,0,106,7.13E+13,4.23E+12,0.017583316,1.18E+11,1.37,-3.94E+11,3.79E+13,2.42E+13,15,4.14E+13,10.09
2007,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,,,,1.88E+11,,0,0,58,2.04E+12,7.55E+11,0.043130695,64378338226,-,-2093757497,1.05E+12,8.89E+11,15,4.17E+11,77.9
2008,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,,,,6.48E+11,,0,0,59,3.35E+12,1.05E+12,0.043943555,4941477641,1.24,-3307448414,1.30E+12,1.50E+12,16,6.20E+11,55.5
2009,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,,,,5.67E+11,,0,0,25,3.33E+12,1.11E+12,0.048213802,54626759702,3.42,-17877460570,2.31E+12,5.02E+11,17,1.16E+12,45.11
2010,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,8,2,7,3.80E+11,0,0,0,42,8.23E+12,2.08E+12,0.036010433,56538427918,4.07,-36641403937,3.66E+12,2.93E+12,18,3.18E+12,54.92
2011,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,8,3,6,1.91E+12,0,0,0,67,1.70E+13,3.30E+12,0.03686517,2.70E+11,2.7,-46920043353,4.38E+12,4.99E+12,19,5.23E+12,34.4
2012,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,5,2,4,2.01E+12,0,0,0,66,2.07E+13,3.27E+12,0.027840481,2.04E+11,1.9,-73291603347,7.78E+12,4.88E+12,20,1.03E+13,27.48
2013,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,6,2,5,2.40E+12,0,0,0,87,2.31E+13,3.22E+12,0.024201281,1.03E+11,4.1,-1.24E+11,1.00E+13,8.05E+12,21,1.20E+13,20.1
2014,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,6,2,5,2.66E+12,3,0,0,75,2.58E+13,3.31E+12,0.023968727,1.62E+11,2.2,-1.40E+11,1.30E+13,6.94E+12,22,1.47E+13,13.2
2015,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,5,3,3,1.50E+12,5,0,0,88,2.90E+13,3.31E+12,0.017286075,53211000000,1,-1.23E+11,1.59E+13,7.84E+12,23,1.86E+13,15.7
2016,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,5,2,3,1.98E+12,3,0,0,115,3.24E+13,3.31E+12,0.018978303,2685000000,1.3,-1.82E+11,2.10E+13,6.26E+12,24,2.46E+13,13.18
2017,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,5,2,4,2.71E+12,2,0,0,113,3.99E+13,3.34E+12,0.019789843,33532000000,1.8,-2.47E+11,2.50E+13,1.04E+13,25,2.70E+13,11.06
2018,VietCapitalBank,Ngân hàng TMCP Bản Việt,OTC,5,2,4,3.58E+12,3,0,0,113,4.66E+13,3.44E+12,0.019957127,94332000000,2,-3.41E+11,2.97E+13,1.15E+13,26,3.35E+13,10.76
2007,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,,,,1.27E+12,,0,0,72,1.81E+13,2.18E+12,0.03530202,2.27E+11,0.49,0,1.33E+13,3.72E+12,14,1.28E+13,21
2008,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,5,0,5,1.63E+12,0,0,0,,1.86E+13,2.39E+12,0.038523807,1.43E+11,3.41,0,1.29E+13,4.13E+12,15,1.42E+13,19
2009,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,6,0,6,1.28E+12,0,0,0,43,2.75E+13,2.55E+12,0.035783568,2.94E+11,1.63,-1.30E+11,1.58E+13,1.05E+13,16,1.65E+13,15
2010,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,5,1,5,1.09E+13,0,0,0,51,5.98E+13,5.20E+12,0.028643815,5.03E+11,1.2,-2.29E+11,2.53E+13,2.58E+13,17,2.40E+13,14.66
2011,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,5,1,5,1.11E+13,0,0,0,90,8.28E+13,6.00E+12,0.033908875,8.00E+11,1.82,-3.14E+11,2.92E+13,4.40E+13,18,2.94E+13,11.94
2012,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,5,1,5,1.52E+13,3,0,0,87,1.03E+14,6.64E+12,0.037313386,6.43E+11,2.72,-3.80E+11,3.69E+13,4.23E+13,19,5.95E+13,12.5
2013,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,6,1,5,2.60E+13,2,1,1,64,1.21E+14,7.73E+12,0.04470739,1.02E+12,2.81,-6.05E+11,5.25E+13,4.19E+13,20,8.38E+13,12.5
2014,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,6,1,5,1.90E+13,3,1,1,65,1.63E+14,8.98E+12,0.044183556,1.25E+12,2.54,-1.12E+12,7.84E+13,5.45E+13,21,1.08E+14,11.4
2015,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,6,1,5,1.17E+13,5,1,1,34,1.94E+14,1.34E+13,0.063447778,2.40E+12,2.7,-1.74E+12,1.17E+14,5.70E+13,22,1.30E+14,12.2
2016,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,6,1,5,1.56E+13,6,1,1,51,2.29E+14,1.72E+13,0.076747271,3.94E+12,2.91,-2.09E+12,1.45E+14,6.20E+13,23,1.24E+14,13.2
2017,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,5,1,4,1.66E+13,6,1,1,36,2.78E+14,2.97E+13,0.086923123,6.44E+12,2.9,-3.15E+12,1.83E+14,7.35E+13,24,1.34E+14,14.6
2018,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HoSE,5,1,4,2.09E+13,6,1,1,43,3.23E+14,3.48E+13,0.087667632,7.36E+12,3.2,-3.57E+12,2.22E+14,7.98E+13,25,1.71E+14,12.3
